index,category,raw_category_x,nyuId,nyu40id,eigen13id,nyuClass,nyu40class,eigen13class,ModelNet40,ModelNet10,ShapeNetCore55,synsetoffset,wnsynsetid,wnsynsetkey,mpcat40index,mpcat40_x,raw_category_y,mpcat40_y
251,broomstick,broom stick,328.0,40,7.0,broom,otherprop,Objects,,,,,,,,misc,,misc
252,brush,brush,,40,7.0,,otherprop,Objects,,,,,n02908217,brush.n.02,39.0,objects,brush,objects
253,brushes,brushes,120.0,40,,hair brush,otherprop,,,,,,,,,objects,,objects
254,bucket,bucket,427.0,40,7.0,bucket,otherprop,Objects,,,,,n02909870,bucket.n.01,39.0,objects,bucket,objects
255,buckets,buckets,427.0,40,7.0,bucket,otherprop,Objects,,,,,,,,objects,,objects
256,buffet,buffet,7.0,12,6.0,counter,counter,Furniture,table,table,table,4379243.0,n04247736,snack_bar.n.01,26.0,counter,buffet,counter
257,bulletin board,bulletin board,408.0,38,7.0,board,otherstructure,Objects,,,,,n03211616,display_panel.n.01,22.0,tv_monitor,bulletin board,tv_monitor
258,bunk bed,bunk bed,804.0,4,,bunk bed,bed,,,,,,,,,bed,,bed
259,bureau,bureau,524.0,39,6.0,furniture,otherfurniture,Furniture,dresser,dresser,,,n03015254,chest_of_drawers.n.01,13.0,chest_of_drawers,bureau,chest_of_drawers
260,bust,bust,294.0,40,7.0,sculpture,otherprop,Objects,,,,,n02926188,bust.n.03,39.0,objects,bust,objects
261,button,button,774.0,40,7.0,button,otherprop,Objects,,,,,,,40.0,misc,button,misc
262,cabinet,cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,cabidet,cabinet
263,cabinet /otherroom,cabinet \other room,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,cabinet /otherroom,cabinet
264,cabinet /w clutter,cabinet /w clutter,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,cabinet /w clutter,cabinet
265,cabinet /w cluttered art,cabinet /w cluttered art,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,cabinet /w cluttered art,misc
266,cabinet clutter,cabinet clutter,,40,,,otherprop,,,,,,,,,misc,,misc
267,cabinet counter,cabinet counter,7.0,12,6.0,counter,counter,Furniture,,,,,,,40.0,misc,cabinet counter,misc
268,cabinet door,cabinet door,28.0,8,12.0,door,door,Wall,door,,,,,,40.0,misc,cabinet  door,misc
269,cabinet drawer,cabinet drawer,174.0,39,6.0,drawer,otherfurniture,Furniture,,,,,,,,cabinet,,cabinet
270,cabinet kitchen,cabinet kitchen,3.0,3,6.0,cabinet,cabinet,Furniture,,,,,,,,cabinet,,cabinet
271,cabinet mirror,cabinet mirror,122.0,19,,mirror,mirror,,,,,,,,,cabinet,,cabinet
272,cabinet parts,cabinet parts,3.0,3,6.0,cabinet,cabinet,Furniture,,,,,,,,cabinet,,cabinet
273,cabinet table,cabinet table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,cabinet table,table
274,cable,cable,92.0,40,,wire,otherprop,,,,,,,,,misc,,misc
275,cables,cables,450.0,40,,cables,otherprop,,,,,,,,,misc,,misc
276,cage,cage,,40,,,otherprop,,,,,,,,,objects,,objects
277,cake,cake,289.0,40,,cake,otherprop,,,,,,,,,misc,,misc
278,calculator,calculator,200.0,40,,calculator,otherprop,,,,,,,,,appliances,,appliances
279,calendar,calendar,583.0,40,7.0,calendar,otherprop,Objects,,,,,,,40.0,misc,calander,misc
280,camera,camera,40.0,40,7.0,camera,otherprop,Objects,,,camera,2942699.0,n02942699,camera.n.01,39.0,objects,camera,objects
281,camping chair,camping chair,5.0,5,,chair,chair,,,,,,,,,chair,,chair
282,can,can,329.0,40,7.0,can,otherprop,Objects,,,can,2946921.0,n02946921,can.n.01,39.0,objects,can,objects
283,can of paint,can of paint,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,can of paint,misc
284,canal,canal,,40,,,otherprop,,,,,,,,,misc,,misc
285,candelabra,candelabra,605.0,40,7.0,candelabra,otherprop,Objects,,,,,n02947818,candelabrum.n.01,39.0,objects,candelabra,objects
286,candle,candle,137.0,40,7.0,candle,otherprop,Objects,lamp,,,,n02948072,candle.n.01,39.0,objects,candel,objects
287,candle holder,candle holder,148.0,40,7.0,candlestick,otherprop,Objects,,,,,n02948557,candlestick.n.01,39.0,objects,candle holder,objects
288,candle stand,candle stand,148.0,40,7.0,candlestick,otherprop,Objects,,,,,,,,objects,,objects
289,candlestick,candlestick,148.0,40,7.0,candlestick,otherprop,Objects,,,,,n02948557,candlestick.n.01,39.0,objects,candlestick,objects
290,canister,canister,794.0,40,7.0,canister,otherprop,Objects,,,,,,,40.0,misc,canister,misc
291,canoe,canoe,,40,,,otherprop,,,,,,,,,objects,,objects
292,canopy,canopy,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,canopy,misc
293,cans,cans,329.0,40,,can,otherprop,,,,,,,,,objects,,objects
294,cans of paint,cans of paint,329.0,40,,can,otherprop,,,,,,,,,objects,,objects
295,canvas,canvas,559.0,40,7.0,sheet,otherprop,Objects,,,,,,,40.0,misc,canvas,misc
296,cap,cap,193.0,40,,hat,otherprop,,,,,,,,,clothes,,clothes
297,car,car,530.0,40,7.0,car,otherprop,Objects,car,,car,2958343.0,n02958343,car.n.01,39.0,objects,car,objects
298,car model,car model,415.0,40,,toy car,otherprop,,,,,,,,,objects,,objects
299,card,card,,40,,,otherprop,,,,,,,,,misc,,misc
300,cardboard,cardboard,452.0,40,,cardboard sheet,otherprop,,,,,,,,,misc,,misc
301,cardboard box,cardboard box,26.0,29,7.0,box,box,Objects,,,,,,,40.0,misc,carboard box,misc
302,carpet,carpet,130.0,20,7.0,rug,floor mat,Objects,,,,,n04118021,rug.n.01,2.0,floor,carpet,floor
303,carpet roll,carpet roll,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,carpet roll,misc
304,cart,cart,305.0,40,7.0,cart,otherprop,Objects,,,,,n03484083,handcart.n.01,39.0,objects,cart,objects
305,case,case,851.0,40,7.0,case,otherprop,Objects,,,,,,,40.0,misc,case,misc
306,cases,cases,851.0,40,7.0,case,otherprop,Objects,,,,,,,,misc,,misc
307,cash register,cash register,532.0,40,,toy cash register,otherprop,,,,,,,,,objects,,objects
308,casket,casket,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,casket,misc
309,cassette,video cassette,871.0,40,,vhs tapes,otherprop,,,,,,,,,objects,,objects
310,cat,cat,594.0,40,,cat,otherprop,,,,,,,,,misc,,misc
311,cat bed,cat bed,608.0,4,,cat bed,bed,,,,,,,,,bed,,bed
312,cat food,cat food,593.0,40,,cans of cat food,otherprop,,,,,,,,,misc,,misc
313,cat food bag,cat food bag,593.0,40,,cans of cat food,otherprop,,,,,,,,,misc,,misc
314,cat litter box,cat litter box,606.0,29,,litter box,box,,,,,,,,,toilet,,toilet
315,cat toilet,cats toilet,606.0,29,,litter box,box,,,,,,,,,toilet,,toilet
316,cat tree,cat tree,,40,,,otherprop,,,,,,,,,objects,,objects
317,cd,cd,207.0,40,,cd,otherprop,,,,,,,,,objects,,objects
318,cd player,cd player,170.0,40,,dvd player,otherprop,,,,,,,,,appliances,,appliances
319,cds,cd's,207.0,40,,cd,otherprop,,,,,,,,,objects,,objects
320,ceiling,ceiling,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,n02990373,ceiling.n.01,17.0,ceiling,ceiiling,ceiling
321,ceiling arch,ceiling arch,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,,,,ceiling,,ceiling
322,ceiling bedroom,ceiling bedroom,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling bedroom,misc
323,ceiling boarder,celling borader,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling boarder,misc
324,ceiling border,ceiling border,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,,,,ceiling,,ceiling
325,ceiling chassis,ceiling chasis,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,,,,ceiling,,ceiling
326,ceiling corridor,ceiling corridor,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling corridor,misc
327,ceiling decorative lamp,ceiling decorative lamp,144.0,35,,lamp,lamp,,,,,,,,,lighting,,lighting
328,ceiling dome,ceiling dome,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling dome,misc
329,ceiling door,ceiling door,28.0,8,12.0,door,door,Wall,door,,,,,,40.0,misc,ceiling door,misc
330,ceiling duct,ceiling duct,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,n02990373,ceiling.n.01,17.0,ceiling,ceiling duck,ceiling
331,ceiling fan,ceiling fan,74.0,40,7.0,fan,otherprop,Objects,,,,,n03320046,fan.n.01,39.0,objects,ceiling fan,objects
332,ceiling fan lamp,ceiling fan lamp,144.0,35,,lamp,lamp,,,,,,,,,lighting,,lighting
333,ceiling fan vent,ceiling fan vent,25.0,40,,air vent,otherprop,,,,,,,,,misc,,misc
334,ceiling fire detector,ceiling fire detector,,40,,,otherprop,,,,,,,,,objects,,objects
335,ceiling fixture,ceiling fixture,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling fixture,misc
336,ceiling floor,ceiling floor,11.0,2,5.0,floor,floor,Floor,,,,,,,,floor,,floor
337,ceiling hanger,ceiling hanger,211.0,40,,hanger,otherprop,,,,,,,,,objects,,objects
338,ceiling ladder,ceiling ladder,48.0,40,,ladder,otherprop,,,,,,,,,objects,,objects
339,ceiling lamp,ceiling light,144.0,35,7.0,lamp,lamp,Objects,lamp,,lamp,3636649.0,n03636649,lamp.n.02,28.0,lighting,cailing lamp,lighting
340,ceiling lamp hanger,ceiling lamp hanger,144.0,35,7.0,lamp,lamp,Objects,lamp,,,,,,,lighting,,lighting
341,ceiling lamp rail,ceiling lamp rail,144.0,35,7.0,lamp,lamp,Objects,lamp,,,,,,,lighting,,lighting
342,ceiling light,ceiling  light,62.0,35,,light,lamp,,,,,,,,,lighting,,lighting
343,ceiling light fixture connection,ceiling light fixture connection,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling light fixture connection,misc
344,ceiling lower,ceiling lower,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling llower,misc
345,ceiling molding,ceiling molding,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling molding,misc
346,ceiling panel,ceiling panel,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,,,,ceiling,,ceiling
347,ceiling pipe,ceiling pipe,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,n02990373,ceiling.n.01,17.0,ceiling,ceiling pipe,ceiling
348,ceiling support,ceiling support,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,,,,ceiling,,ceiling
349,ceiling under staircase,ceiling under staircase,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,ceiling under staircase,misc
350,ceiling under stairs,ceiling under stairs,215.0,38,7.0,stairs,otherstructure,Objects,stairs,,,,,,40.0,misc,ceiling under stairs,misc
351,ceiling vent,ceiling vent,25.0,38,7.0,air vent,otherstructure,Objects,,,,,n04526241,vent.n.01,40.0,misc,ceiling  vent,misc
352,ceiling wall,ceiling wall,21.0,1,12.0,wall,wall,Wall,,,,,,,40.0,misc,ceiling wall,misc
353,ceiling window,ceiling window,59.0,9,13.0,window,window,Window,,,,,,,40.0,misc,ceiling window,misc
354,ceiling/west wall,ceiling/west wall,21.0,1,12.0,wall,wall,Wall,,,,,,,40.0,misc,ceiling/ wall west,misc
355,central heating furnace,central heating furnace,551.0,39,,furnace,otherfurniture,,,,,,,,,appliances,,appliances
356,ceramics,ceramics,,40,,,otherprop,,,,,,,,,objects,,objects
357,chain,chain,,40,,,otherprop,,,,,,,,,objects,,objects
358,chair,chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,3.0,chair,cair,chair
359,chair /w clutter,chair /w clutter,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,3.0,chair,chair /w clutter,chair
360,chair stand,chair stand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,chair stand,misc
361,chaise,chaise,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03002711,chaise_longue.n.01,3.0,chair,chaise,chair
362,chaise longue,chaise longue,83.0,6,,sofa,sofa,,,,,,,,,sofa,,sofa
363,chamber pot,chamber pot,124.0,33,,toilet,toilet,,,,,,,,,toilet,,toilet
364,chandelier,chandelier,342.0,38,7.0,chandelier,otherstructure,Objects,,,,,n03005285,chandelier.n.01,28.0,lighting,chandelier,lighting
365,changing table,changing table,19.0,7,,table,table,,,,,,,,,table,,table
366,charger,charger,743.0,40,,charger,otherprop,,,,,,,,,objects,,objects
367,chassis,chasis,,40,,,otherprop,,,,,,,,,objects,,objects
368,chess,chess,198.0,40,,chessboard,otherprop,,,,,,,,,misc,,misc
369,chest,chest,344.0,39,6.0,chest,otherfurniture,Furniture,dresser,dresser,,,,,40.0,misc,chest,misc
370,chest bench,chest bench,204.0,5,,bench,chair,,,,,,,,,misc,,misc
371,chest drawer,chest drawer,174.0,39,6.0,drawer,otherfurniture,Furniture,,,,,,,40.0,misc,chest drawer,misc
372,chest of drawer,chest of drawer,524.0,39,6.0,furniture,otherfurniture,Furniture,dresser,dresser,,,,,,chest_of_drawers,,chest_of_drawers
373,chest of drawers,chest of drawers,524.0,39,6.0,furniture,otherfurniture,Furniture,dresser,dresser,,,n03015254,chest_of_drawers.n.01,13.0,chest_of_drawers,chest drawers,chest_of_drawers
374,child car seat,child car seat,494.0,5,,baby chair,chair,,,,,,,,,objects,,objects
375,chimney,chimney,702.0,38,7.0,chimney,otherstructure,Objects,,,,,n03017428,chimney.n.01,40.0,misc,chimney,misc
376,christmas tree,christmas tree,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,christmas tree,misc
377,circular sofa,circular sofa,83.0,6,9.0,sofa,sofa,Sofa,sofa,sofa,sofa,4256520.0,n04256520,sofa.n.01,10.0,sofa,circular sofa,sofa
378,clarinet,clarinet,,40,,,otherprop,,,,,,,,,objects,,objects
379,cleaner,cleaner,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
380,cleaner bottle,cleaner bottle,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
381,cleaner brush,cleaner brush,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
382,cleaning clutter,cleaning clutter,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,cleaning clutter,misc
383,cleaning fluid,cleaning fluid,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
384,cleaning liquid,cleaning liquid,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
385,cleaning paper,cleaning paper,15.0,26,,paper,paper,,,,,,,,,objects,,objects
386,cleaning paste,cleaning paste,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
387,cleaning powders/ liquids,cleaning powders/ liquids,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
388,cleaning sponge,cleaning sponge,250.0,40,,sponge,otherprop,,,,,,,,,objects,,objects
389,cleaning spray,cleaning spray,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
390,clock,clock,56.0,40,7.0,clock,otherprop,Objects,,,clock,3046257.0,n03046257,clock.n.01,39.0,objects,clock,objects
391,closet,closet,,40,7.0,,otherprop,Objects,,,,,n03148324,cupboard.n.01,7.0,cabinet,closet,cabinet
392,closet area for hanging clothes,closet area for hanging clothes,141.0,21,7.0,clothes,clothes,Objects,,,,,,,40.0,misc,closet area for hanging clothes,misc
393,closet door,closet door,28.0,8,12.0,door,door,Wall,door,,,,n03221720,door.n.01,4.0,door,closet door,door
394,closet floor,closet floor,11.0,2,5.0,floor,floor,Floor,,,,,,,40.0,misc,closet floor,misc
395,closet mirror wall,closet mirror wall,21.0,1,12.0,wall,wall,Wall,,,,,,,40.0,misc,closet mirror wall,misc
396,closet rod,wardrobe rod,,40,7.0,,otherprop,Objects,,,,,n04100174,rod.n.01,39.0,objects,closet rod,objects
397,closet shelf,closet shelf,,40,7.0,,otherprop,Objects,,,,,n04190052,shelf.n.01,31.0,shelving,closet shelf,shelving
398,closet shelving,closet shelving,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,closet shelving,misc
399,closet storage area,closet storage area,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,closet storage area,misc
400,cloth,cloth,,40,7.0,,otherprop,Objects,,,,,n03309808,fabric.n.01,39.0,objects,cloth,objects
401,cloth dryer,cloth dryer,498.0,40,,clothing dryer,otherprop,,,,,,,,,appliances,,appliances
402,cloth hanger,cloth hanger,214.0,40,,clothing hanger,otherprop,,,,,,,,,objects,,objects
403,cloth hangers,cloth hangers,214.0,40,,clothing hanger,otherprop,,,,,,,,,objects,,objects
404,cloth holder,cloth holder,214.0,40,,clothing hanger,otherprop,,,,,,,,,objects,,objects
405,clothes,clothes,141.0,21,7.0,clothes,clothes,Objects,,,,,n02728440,apparel.n.01,38.0,clothes,clothes,clothes
406,clothes bag,clothes bag,55.0,37,7.0,bag,bag,Objects,,,,,,,40.0,misc,clothes bag,misc
407,clothes container,clothes container,140.0,40,7.0,container,otherprop,Objects,,,,,,,40.0,misc,clothes container,misc
408,clothes dryer,clothes dryer,,39,6.0,,otherfurniture,Furniture,,,,,n03251766,dryer.n.01,37.0,appliances,clotes dryer,appliances
409,clothes hamper,hamper,39.0,40,7.0,basket,otherprop,Objects,,,basket,2801938.0,n03050864,clothes_hamper.n.01,39.0,objects,clothes hamper,objects
410,clothes hanger,clothes hangers,211.0,40,7.0,hanger,otherprop,Objects,,,,,n03057920,coat_hanger.n.01,39.0,objects,clothes hanger,objects
411,clothes hanger rod,clothes hanger rod,,40,7.0,,otherprop,Objects,,,,,n04100174,rod.n.01,39.0,objects,clothes hanger rod,objects
412,clothes on shelf,clothes on shelf,141.0,21,,clothes,clothes,,,,,,,,,clothes,,clothes
413,clothes rack,clothes rack,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,clothes  rack,misc
414,clothing stand,clothing stand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,clothing stand,misc
415,clutter,clutter,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,clutter,misc
416,coach,coach,,40,,,otherprop,,,,,,,,,misc,,misc
417,coaster,coaster,387.0,40,,coaster,otherprop,,,,,,,,,objects,,objects
418,coat,coat,324.0,40,7.0,jacket,otherprop,Objects,,,,,n03057021,coat.n.01,38.0,clothes,coat,clothes
419,coat hanger,coat hanger,400.0,40,7.0,coat hanger,otherprop,Objects,,,,,n03057920,coat_hanger.n.01,39.0,objects,coat hanger,objects
420,coat rack,coat rack,,40,7.0,,otherprop,Objects,,,,,n03059103,coatrack.n.01,40.0,misc,coat rack,misc
421,coffee machine,coffee machine,234.0,40,7.0,coffee machine,otherprop,Objects,,,,,n03063338,coffee_maker.n.01,37.0,appliances,cofee table,appliances
422,coffee maker,coffee maker,,40,7.0,,otherprop,Objects,,,,,n03063338,coffee_maker.n.01,37.0,appliances,coffee maker,appliances
423,coffee mug,coffee mug,263.0,40,7.0,vessel,otherprop,Objects,,,cup or mug,3797390.0,n03063599,coffee_mug.n.01,39.0,objects,coffee mug,objects
424,coffee table,coffee table,356.0,39,6.0,coffee table,otherfurniture,Furniture,table,table,table,4379243.0,n03063968,coffee_table.n.01,5.0,table,coffe table,table
425,column,support column,94.0,38,7.0,column,otherstructure,Objects,,,,,n03074380,column.n.06,40.0,misc,column,misc
426,compound wall,compound wall,21.0,1,12.0,wall,wall,Wall,,,,,,,40.0,misc,compound wall,misc
427,compressor,compressor,,40,,,otherprop,,,,,,,,,appliances,,appliances
428,computer,computer,46.0,40,7.0,computer,otherprop,Objects,,,,,n03082979,computer.n.01,39.0,objects,computer,objects
429,computer chair,computer chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,3.0,chair,computer chair,chair
430,computer desk,computer desk,36.0,14,10.0,desk,desk,Table,desk,desk,table,4379243.0,n03179701,desk.n.01,5.0,table,computer desk,table
431,computer equipment,computer equipment,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,computer equipment,misc
432,computer mouse,computer mouse,103.0,40,7.0,mouse,otherprop,Objects,,,,,n03793489,mouse.n.04,39.0,objects,computer mouse,objects
433,computer tower,desktop,46.0,40,7.0,computer,otherprop,Objects,,,,,n03082979,computer.n.01,39.0,objects,computer tower,objects
434,condensation furnace,condensation furnace,551.0,39,,furnace,otherfurniture,,,,,,,,,objects,,objects
435,condiment,condiments,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,condiment,misc
436,cone,cone,6.0,40,,cone,otherprop,,,,,,,,,misc,,misc
437,conference phone,conference phone,32.0,40,,telephone,otherprop,,,,,,,,,appliances,,appliances
438,console,console,518.0,40,,console system,otherprop,,,,,,,,,objects,,objects
439,console pad,console pad,,40,,,otherprop,,,,,,,,,objects,,objects
440,console pad charger,console pad charger,743.0,40,,charger,otherprop,,,,,,,,,misc,,misc
441,construction stuff,construction stuff,,40,,,otherprop,,,,,,,,,misc,,misc
442,container,container,140.0,40,7.0,container,otherprop,Objects,,,,,n03094503,container.n.01,39.0,objects,container,objects
443,containers,containers,140.0,40,7.0,container,otherprop,Objects,,,,,,,,objects,,objects
444,control,control,,40,7.0,,otherprop,Objects,,,,,n03096960,control.n.09,39.0,objects,control,objects
445,control panel,control panel,408.0,38,7.0,board,otherstructure,Objects,,,,,n03098140,control_panel.n.01,39.0,objects,control panel,objects
446,controller,controller,613.0,40,,console controller,otherprop,,,,,,,,,objects,,objects
447,cook book,cookbook,1.0,23,,book,books,,,,,,,,,objects,,objects
448,cooker,cooker,267.0,40,7.0,utensil,otherprop,Objects,,,,,n03101156,cooker.n.01,39.0,objects,coocker,objects
449,cooker hood,cooker hood,380.0,39,,range hood,otherfurniture,,,,,,,,,appliances,,appliances
450,cookies,cookies,229.0,40,,muffins,otherprop,,,,,,,,,misc,,misc
451,copier,copier,,40,7.0,,otherprop,Objects,,,,,n03257586,duplicator.n.01,39.0,objects,copier,objects
452,copier machine,copier machine,220.0,40,7.0,machine,otherprop,Objects,,,,,,,40.0,misc,copier machine,misc
453,cork board,cork board,34.0,39,,cork board,otherfurniture,,,,,,,,,objects,,objects
454,cornice,cornice,,38,,,otherstructure,,,,,,,,,misc,,misc
455,cosmetic,cosmetic,,40,7.0,,otherprop,Objects,,,,,n03113152,cosmetic.n.01,39.0,objects,cosmetic,objects
456,cosmetics,cosmetics,,40,7.0,,otherprop,Objects,,,,,n03113152,cosmetic.n.01,39.0,objects,cosmetics,objects
457,couch,couch,83.0,6,9.0,sofa,sofa,Sofa,sofa,sofa,sofa,4256520.0,n04256520,sofa.n.01,10.0,sofa,couch,sofa
458,counter,counter,7.0,12,6.0,counter,counter,Furniture,table,table,table,4379243.0,n03116530,counter.n.01,26.0,counter,counter,counter
459,counter desk,counter desk,36.0,14,,desk,desk,,,,,,,,,table,,table
460,counter door,counter doors,28.0,8,12.0,door,door,Wall,door,,,,,,40.0,misc,counter door,misc
461,countertop,countertop,7.0,12,6.0,counter,counter,Furniture,,,,,n03118245,countertop.n.01,26.0,counter,countertop,counter
462,countertop /otherroom,countertop /otherroom,7.0,12,6.0,counter,counter,Furniture,,,,,n03118245,countertop.n.01,26.0,counter,countertop /otherroom,counter
463,countertop item,countertop item,,40,,,otherprop,,,,,,,,,misc,,misc
464,cover,cover,312.0,40,7.0,blanket,otherprop,Objects,,,,,,,40.0,misc,cover,misc
465,cradle,cradle,493.0,4,,cradle,bed,,,,,,,,,bed,,bed
466,crate,crate,183.0,29,,crate,box,,,,,,,,,objects,,objects
467,crayon,crayon,511.0,40,,crayon,otherprop,,,,,,,,,objects,,objects
468,crib,crib,485.0,39,6.0,crib,otherfurniture,Furniture,,,,,,,40.0,misc,crib,misc
469,cross,cross,49.0,40,7.0,monitor,otherprop,Objects,,,,,n03857828,oscilloscope.n.01,39.0,objects,cross,objects
470,cross-trainer,cross-trainer,558.0,39,,excercise machine,otherfurniture,,,,,,,,,gym_equipment,,gym_equipment
471,crutches,crutches,,40,,,otherprop,,,,,,,,,objects,,objects
472,cuddly toy,cuddly toy,389.0,40,7.0,toy,otherprop,Objects,,,,,,,40.0,misc,cuddly toy,misc
473,cup,cup,35.0,40,7.0,cup,otherprop,Objects,cup,,cup or mug,3797390.0,n03797390,mug.n.04,39.0,objects,cup,objects
474,cups,cups,35.0,40,7.0,cup,otherprop,Objects,cup,,,,,,,objects,,objects
475,curb,curb,,40,7.0,,otherprop,Objects,,,,,n03149135,curb.n.02,39.0,objects,curb,objects
476,curtain,curtain,89.0,16,13.0,curtain,curtain,Window,curtain,,,,n03151077,curtain.n.01,12.0,curtain,certain,curtain
477,curtain bar,curtain bar,582.0,38,7.0,curtain rod,otherstructure,Objects,,,,,,,,curtain,,curtain
478,curtain box,curtain box,89.0,16,13.0,curtain,curtain,Window,curtain,,,,,,,curtain,,curtain
479,curtain hanger,curtain hanger,582.0,38,7.0,curtain rod,otherstructure,Objects,,,,,,,,curtain,,curtain
480,curtain rail,curtain rail,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,curtain rail,misc
481,curtain rod,curtain rod,582.0,38,7.0,curtain rod,otherstructure,Objects,,,,,n04100174,rod.n.01,12.0,curtain,curtain  rod,curtain
482,curtain rod cover,curtain rod cover,582.0,38,7.0,curtain rod,otherstructure,Objects,,,,,,,,curtain,,curtain
483,curtain valence,curtain valence,89.0,16,13.0,curtain,curtain,Window,curtain,,,,n03151077,curtain.n.01,12.0,curtain,curtain valence,curtain
484,cushion,cushion,119.0,18,7.0,pillow,pillow,Objects,,,,,n03151500,cushion.n.03,8.0,cushion,cushiom,cushion
485,cutlery,cutlery,317.0,40,,utensils,otherprop,,,,,,,,,objects,,objects
486,cutting board,cutting board,247.0,40,7.0,cutting board,otherprop,Objects,,,,,n03025513,chopping_board.n.01,39.0,objects,cutting board,objects
487,cyp,cyp,,40,,,otherprop,,,,,,,,,misc,,misc
488,dartboard,dart board,408.0,38,7.0,board,otherstructure,Objects,,,,,n03162940,dartboard.n.01,39.0,objects,dartboard,objects
489,deck chair,deck chair,5.0,5,,chair,chair,,,,,,,,,chair,,chair
490,decoder,decoder,,40,,,otherprop,,,,,,,,,misc,,misc
491,decor,dedore,,40,7.0,,otherprop,Objects,,,,,n03579355,interior_decoration.n.01,39.0,objects,decor,objects
492,decoration,decoration,,40,7.0,,otherprop,Objects,,,,,n03169390,decoration.n.01,39.0,objects,deccoration,objects
493,decorative bottle,decorative bottle,767.0,40,,decorative bottle,otherprop,,,,,,,,,objects,,objects
494,decorative bowl,decorative bowl,826.0,40,7.0,decorative bowl,otherprop,Objects,bowl,,bowl,2880940.0,n02880940,bowl.n.03,39.0,objects,decoration bowl,objects
495,decorative ceramic,decorative ceramic,853.0,40,,decorative item,otherprop,,,,,,,,,objects,,objects
496,decorative cloth,decorative cloth,853.0,40,,decorative item,otherprop,,,,,,,,,objects,,objects
497,decorative dinnerware,decorative dinnerware,757.0,40,,decorative dish,otherprop,,,,,,,,,objects,,objects
498,decorative frame,decorative frame,853.0,40,,decorative item,otherprop,,,,,,,,,objects,,objects
499,decorative lamp,decorative lamp,144.0,35,,lamp,lamp,,,,,,,,,objects,,objects
500,decorative lantern,decorative lantern,144.0,35,,lamp,lamp,,,,,,,,,objects,,objects
501,decorative mask,mask,,40,7.0,,otherprop,Objects,,,,,n03169390,decoration.n.01,39.0,objects,decorative mask,objects
