Category Tag,# of Scenes,# of Regions,Regions per Scene,# of Instances,Mean Instances per Scene,Mean Instances per Region,GT Name (if specified),Bathroom,Bedroom,Dining room,Garage,Hall/stairwell,Kitchen,Laundry room,Living room,Office,Rec room,Unknown room
bowl of fruits,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,1,0,0,23
bowl of sweets,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,2,1,0,23
bowl with sweets,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,2,0,0,32
bowls,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,3,0,0,0,0,40
box,167,604,3.6167664670658684,2463,14.748502994011975,4.077814569536423,,277,372,39,40,71,396,44,176,263,49,14734
box of food,1,1,1.0,1,1.0,1.0,,0,0,0,0,2,0,1,0,1,0,45
box of fruit,1,1,1.0,1,1.0,1.0,,0,0,0,2,0,0,0,0,0,0,32
box of paper,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,4,0,27
box of something,2,3,1.5,7,3.5,2.3333333333333335,,6,1,0,0,0,0,0,0,8,0,79
box of tissue,12,15,1.25,15,1.25,1.0,,37,9,0,0,4,0,0,2,0,0,282
box of tissues,24,33,1.375,36,1.5,1.0909090909090908,,92,14,3,0,4,19,0,6,12,0,745
box pen,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,28
box with books,9,13,1.4444444444444444,59,6.555555555555555,4.538461538461538,,0,9,0,0,2,4,0,3,12,0,326
box with jewelry,1,1,1.0,1,1.0,1.0,bedroom,0,1,0,0,0,0,0,1,0,0,23
box with photos,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,36
box with shoes,1,1,1.0,1,1.0,1.0,,0,0,0,0,1,0,0,0,0,0,17
box with tea,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,28
box with toys,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,2,0,0,31
boxes,19,28,1.4736842105263157,67,3.526315789473684,2.392857142857143,,7,9,2,10,4,14,5,6,7,1,978
boxes with books,3,3,1.0,12,4.0,4.0,,6,0,0,0,4,0,0,4,3,0,106
boxing ring,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,1,22
bread,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,2,0,1,0,0,41
bread bin,2,2,1.0,2,1.0,1.0,,0,0,1,0,0,7,0,0,1,0,53
bread box,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,2,0,1,0,0,40
breadbox,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,7,0,0,0,0,32
bricks,2,2,1.0,2,1.0,1.0,,0,2,0,0,0,0,0,0,1,0,54
bridge,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,18
briefcase,6,6,1.0,10,1.6666666666666667,1.6666666666666667,,0,2,0,0,1,0,0,0,5,0,148
brochure,12,26,2.1666666666666665,68,5.666666666666667,2.6153846153846154,,19,5,0,0,3,9,1,10,19,0,700
brochures,3,3,1.0,4,1.3333333333333333,1.3333333333333333,,0,0,0,0,0,1,0,2,3,0,129
broom,35,40,1.1428571428571428,71,2.0285714285714285,1.775,,2,3,1,42,16,27,17,5,1,2,1113
broomstick,2,2,1.0,5,2.5,2.5,,13,0,0,0,2,1,1,0,0,0,97
brush,27,35,1.2962962962962963,43,1.5925925925925926,1.2285714285714286,,79,6,2,13,6,31,7,1,2,0,954
brushes,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,25
bucket,45,71,1.5777777777777777,153,3.4,2.1549295774647885,,42,11,2,33,16,28,16,20,8,7,2014
buckets,1,1,1.0,1,1.0,1.0,,0,0,0,0,1,0,1,0,0,0,67
buffet,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,18
bulletin board,6,7,1.1666666666666667,9,1.5,1.2857142857142858,,0,0,1,0,4,26,0,2,2,0,191
bunk bed,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,25
bureau,2,3,1.5,3,1.5,1.0,,0,1,0,0,2,0,0,6,2,2,117
bust,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,0,0,0,19
button,4,9,2.25,10,2.5,1.1111111111111112,,58,0,0,0,0,0,0,0,0,0,127
cabinet,204,1057,5.181372549019608,2529,12.397058823529411,2.392620624408704,,853,615,55,27,113,655,69,357,337,40,23057
cabinet /otherroom,1,3,3.0,61,61.0,20.333333333333332,,1,0,0,0,0,1,0,0,1,0,105
cabinet /w clutter,2,3,1.5,3,1.5,1.0,,0,0,0,1,0,7,0,2,0,0,93
cabinet /w cluttered art,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,1,2,0,28
cabinet clutter,5,7,1.4,9,1.8,1.2857142857142858,,1,3,1,0,0,21,1,2,0,0,159
cabinet counter,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,87
cabinet door,18,43,2.388888888888889,202,11.222222222222221,4.6976744186046515,,53,36,3,0,1,49,7,3,14,0,938
cabinet drawer,3,5,1.6666666666666667,36,12.0,7.2,,9,0,1,0,0,21,1,0,3,0,161
cabinet kitchen,1,1,1.0,2,2.0,2.0,kitchen,0,0,0,0,0,7,0,0,0,0,17
cabinet mirror,1,2,2.0,2,2.0,1.0,,15,0,0,0,0,0,0,0,0,0,31
cabinet parts,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,20
cabinet table,7,8,1.1428571428571428,9,1.2857142857142858,1.125,,0,3,2,0,1,10,0,8,2,0,180
cable,4,4,1.0,4,1.0,1.0,,0,2,0,0,0,4,0,0,0,0,120
cables,7,8,1.1428571428571428,11,1.5714285714285714,1.375,,2,2,0,0,3,3,2,0,1,0,356
cage,2,2,1.0,3,1.5,1.5,,0,0,0,0,0,4,0,3,0,0,46
cake,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,1,0,0,24
calculator,4,5,1.25,7,1.75,1.4,,0,0,0,0,0,0,0,1,16,0,171
calendar,38,48,1.263157894736842,51,1.3421052631578947,1.0625,,11,22,7,3,9,138,1,23,39,1,1480
camera,15,23,1.5333333333333334,33,2.2,1.434782608695652,,0,4,0,0,7,9,0,4,12,1,643
camping chair,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,41
can,42,54,1.2857142857142858,186,4.428571428571429,3.4444444444444446,,27,9,2,11,10,98,6,5,10,6,1673
can of paint,7,7,1.0,40,5.714285714285714,5.714285714285714,,1,1,0,11,3,2,3,0,0,0,281
canal,1,1,1.0,1,1.0,1.0,,0,0,0,0,1,0,1,0,0,0,67
candelabra,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,0,0,0,31
candle,68,140,2.0588235294117645,297,4.367647058823529,2.1214285714285714,,132,57,17,0,10,99,2,96,30,2,3580
candle holder,25,31,1.24,54,2.16,1.7419354838709677,,32,11,7,0,4,32,2,29,2,0,900
candle stand,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,0,1,0,37
candlestick,10,13,1.3,27,2.7,2.076923076923077,,0,5,0,0,1,6,0,13,0,0,313
canister,4,4,1.0,9,2.25,2.25,,0,0,0,9,1,0,2,0,0,0,164
canoe,1,1,1.0,1,1.0,1.0,,0,0,0,3,1,0,0,0,0,0,49
canopy,3,3,1.0,3,1.0,1.0,,0,0,0,0,0,1,0,0,3,0,85
cans,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,1,0,0,0,0,41
cans of paint,1,2,2.0,3,3.0,1.5,,0,0,0,0,2,0,1,0,1,0,77
canvas,4,5,1.25,8,2.0,1.6,,0,0,2,0,1,1,1,0,0,1,174
cap,5,6,1.2,18,3.6,3.0,,0,5,0,0,0,1,0,4,3,0,184
car,4,4,1.0,6,1.5,1.5,,1,1,0,9,2,2,0,0,4,0,122
car model,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,2,0,33
card,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,39
cardboard,5,8,1.6,15,3.0,1.875,,1,3,0,2,4,1,1,1,3,4,212
cardboard box,36,91,2.5277777777777777,604,16.77777777777778,6.637362637362638,,30,55,2,24,27,54,12,13,58,17,2282
carpet,90,312,3.466666666666667,388,4.311111111111111,1.2435897435897436,,108,230,28,11,72,154,5,157,105,25,6742
carpet roll,5,6,1.2,8,1.6,1.3333333333333333,,0,2,0,4,4,0,0,0,5,1,155
cart,13,15,1.1538461538461537,17,1.3076923076923077,1.1333333333333333,,10,7,0,13,4,3,6,1,1,4,475
case,55,98,1.7818181818181817,195,3.5454545454545454,1.989795918367347,,21,47,0,22,8,38,12,21,42,14,2723
cases,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,16
cash register,2,3,1.5,3,1.5,1.0,,0,0,0,0,0,4,0,0,1,0,112
casket,21,26,1.2380952380952381,32,1.5238095238095237,1.2307692307692308,,2,48,1,0,1,8,1,8,9,0,651
cassette,1,1,1.0,4,4.0,4.0,,0,1,0,0,0,0,0,0,0,0,26
cat,2,2,1.0,3,1.5,1.5,,0,4,0,0,2,0,0,0,0,0,44
cat bed,1,1,1.0,2,2.0,2.0,,0,2,0,0,0,0,0,3,3,0,51
cat food,1,1,1.0,1,1.0,1.0,,0,0,2,0,0,1,0,0,0,1,35
cat food bag,1,1,1.0,1,1.0,1.0,,0,0,0,0,1,0,1,0,0,0,67
cat litter box,1,1,1.0,1,1.0,1.0,,14,0,0,0,0,0,0,0,0,0,32
cat toilet,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,8,1,0,0,0,44
cat tree,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,1,0,0,31
cd,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,3,0,0,46
cd player,2,2,1.0,2,1.0,1.0,,0,0,0,0,0,0,0,3,4,0,74
cds,1,1,1.0,1,1.0,1.0,,0,0,0,0,1,2,0,2,0,1,52
ceiling,216,2966,13.731481481481481,4440,20.555555555555557,1.4969656102494944,,3254,1528,119,71,396,1370,144,631,614,93,51730
ceiling arch,1,6,6.0,12,12.0,2.0,,0,0,0,0,5,0,0,0,0,0,116
ceiling bedroom,1,1,1.0,1,1.0,1.0,bedroom,0,2,0,0,0,0,0,0,0,0,13
ceiling boarder,1,4,4.0,4,4.0,1.0,,0,0,0,0,4,0,0,0,0,0,73
ceiling border,1,1,1.0,7,7.0,7.0,,0,0,0,0,0,8,0,0,0,0,18
ceiling chassis,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,87
ceiling corridor,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,7
ceiling decorative lamp,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,19
ceiling dome,4,5,1.25,17,4.25,3.4,,0,0,0,0,4,4,0,0,0,0,74
ceiling door,16,19,1.1875,20,1.25,1.0526315789473684,,41,7,0,0,1,0,3,1,3,0,346
ceiling duct,11,15,1.3636363636363635,15,1.3636363636363635,1.0,,1,1,2,0,1,0,0,4,6,2,222
ceiling fan,49,143,2.9183673469387754,149,3.0408163265306123,1.0419580419580419,,27,177,7,0,15,98,5,66,53,4,3176
ceiling fan lamp,3,13,4.333333333333333,13,4.333333333333333,1.0,,0,13,0,0,0,8,0,4,1,2,449
ceiling fan vent,1,1,1.0,1,1.0,1.0,,4,2,0,0,0,0,0,0,2,0,31
ceiling fire detector,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,13
ceiling fixture,3,4,1.3333333333333333,4,1.3333333333333333,1.0,,0,0,0,0,1,6,1,2,0,0,111
ceiling floor,1,1,1.0,1,1.0,1.0,,1,0,0,0,0,0,0,0,0,0,13
ceiling hanger,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,87
ceiling ladder,1,1,1.0,1,1.0,1.0,,0,0,0,0,1,0,0,2,0,0,38
ceiling lamp,124,922,7.435483870967742,2519,20.31451612903226,2.732104121475054,,985,451,53,14,156,557,38,195,221,29,16432
ceiling lamp hanger,3,3,1.0,6,2.0,2.0,,7,1,0,0,0,0,0,1,2,0,153
ceiling lamp rail,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,21
ceiling light,6,14,2.3333333333333335,100,16.666666666666668,7.142857142857143,,6,7,0,0,3,10,2,8,1,1,312
ceiling light fixture connection,6,35,5.833333333333333,63,10.5,1.8,,89,19,2,0,10,22,5,2,4,0,773
ceiling lower,12,47,3.9166666666666665,64,5.333333333333333,1.3617021276595744,,52,17,0,0,10,23,1,14,10,1,1203
ceiling molding,8,31,3.875,45,5.625,1.4516129032258065,,30,31,6,0,0,14,1,5,7,0,607
ceiling panel,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,5,0,0,0,0,22
ceiling pipe,7,11,1.5714285714285714,31,4.428571428571429,2.8181818181818183,,4,1,0,0,2,3,5,0,1,1,270
ceiling support,1,1,1.0,6,6.0,6.0,,0,0,0,0,1,0,0,0,0,0,24
ceiling under staircase,2,2,1.0,2,1.0,1.0,,0,1,0,0,4,0,0,0,0,0,24
ceiling under stairs,13,18,1.3846153846153846,34,2.6153846153846154,1.8888888888888888,,3,3,0,0,21,5,0,1,2,3,328
ceiling vent,32,113,3.53125,178,5.5625,1.575221238938053,,191,79,1,1,15,56,5,21,30,2,2077
ceiling wall,9,26,2.888888888888889,83,9.222222222222221,3.1923076923076925,,27,23,1,2,8,8,1,12,12,0,566
ceiling window,11,15,1.3636363636363635,17,1.5454545454545454,1.1333333333333333,,19,4,2,0,5,7,0,4,0,0,248
ceiling/west wall,1,4,4.0,12,12.0,3.0,,8,3,0,0,0,0,0,2,1,0,80
central heating furnace,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,1,1,0,0,0,19
ceramics,1,1,1.0,4,4.0,4.0,,0,0,0,0,0,0,0,1,0,0,16
chain,1,1,1.0,1,1.0,1.0,,0,0,0,2,0,0,2,0,0,0,59
chair,199,689,3.4623115577889445,2339,11.753768844221106,3.39477503628447,,152,431,23,27,66,635,28,272,315,27,16136
chair /w clutter,1,1,1.0,1,1.0,1.0,,0,0,2,0,0,1,0,0,0,1,35
chair stand,1,1,1.0,1,1.0,1.0,,0,3,0,0,0,0,0,0,2,0,37
chaise,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,2,1,0,32
chaise longue,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,2,0,0,29
chamber pot,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,26
chandelier,41,92,2.2439024390243905,103,2.5121951219512195,1.1195652173913044,,6,91,17,0,21,55,4,44,32,2,2088
changing table,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,23
charger,2,2,1.0,2,1.0,1.0,,0,2,0,0,0,8,0,0,0,0,53
chassis,1,1,1.0,2,2.0,2.0,,0,0,0,0,1,0,0,2,0,0,38
chess,3,3,1.0,3,1.0,1.0,,0,0,0,0,1,0,0,1,1,0,60
chest,47,71,1.5106382978723405,87,1.851063829787234,1.2253521126760563,,14,79,4,2,8,20,1,31,27,7,1827
chest bench,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,0,0,1,0,2,33
chest drawer,4,6,1.5,11,2.75,1.8333333333333333,,0,9,0,0,2,6,1,0,3,0,177
chest of drawer,1,1,1.0,1,1.0,1.0,,0,3,0,0,0,0,0,0,1,0,26
chest of drawers,48,135,2.8125,167,3.4791666666666665,1.237037037037037,,13,204,9,0,7,13,2,26,46,2,2908
child car seat,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,14
chimney,5,5,1.0,6,1.2,1.2,,0,3,0,0,2,1,1,6,1,0,133
christmas tree,3,3,1.0,3,1.0,1.0,,0,1,0,0,0,5,0,2,0,0,102
circular sofa,3,5,1.6666666666666667,6,2.0,1.2,living room,3,2,0,0,2,0,0,8,0,0,98
clarinet,1,1,1.0,5,5.0,5.0,,0,0,0,0,0,0,0,0,1,0,87
cleaner,1,1,1.0,1,1.0,1.0,,10,0,0,0,0,0,0,0,0,0,17
cleaner bottle,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,47
cleaner brush,1,1,1.0,1,1.0,1.0,,3,0,0,0,0,0,0,0,0,0,25
cleaning clutter,3,3,1.0,5,1.6666666666666667,1.6666666666666667,,5,0,0,4,1,0,2,0,0,0,72
cleaning fluid,1,2,2.0,2,2.0,1.0,,8,0,0,0,0,0,0,0,0,0,32
cleaning liquid,4,4,1.0,4,1.0,1.0,,0,0,0,0,1,10,1,2,1,1,130
cleaning paper,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,1,0,0,0,36
cleaning paste,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,0,0,0,39
cleaning powders/ liquids,1,1,1.0,1,1.0,1.0,,2,0,0,0,0,0,1,0,0,0,21
cleaning sponge,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,5,0,0,0,0,23
cleaning spray,1,1,1.0,1,1.0,1.0,,3,1,0,0,0,0,0,0,0,0,15
clock,103,192,1.8640776699029127,210,2.0388349514563107,1.09375,,84,138,11,2,17,226,8,89,61,10,4915
closet,23,46,2.0,60,2.608695652173913,1.3043478260869565,,0,47,0,2,0,11,2,9,14,2,986
closet area for hanging clothes,4,4,1.0,6,1.5,1.5,,0,1,0,0,2,0,0,1,0,0,64
closet door,23,37,1.608695652173913,62,2.6956521739130435,1.6756756756756757,,21,44,0,0,5,0,2,2,9,0,681
closet floor,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,22
closet mirror wall,6,10,1.6666666666666667,14,2.3333333333333335,1.4,,10,12,0,0,3,0,0,1,0,0,184
closet rod,6,12,2.0,19,3.1666666666666665,1.5833333333333333,,1,2,0,0,0,0,0,0,0,0,173
closet shelf,8,9,1.125,17,2.125,1.8888888888888888,,10,3,0,0,1,0,0,0,1,0,144
closet shelving,4,5,1.25,7,1.75,1.4,,0,0,0,0,0,0,0,2,0,0,63
closet storage area,3,3,1.0,4,1.3333333333333333,1.3333333333333333,,0,1,0,0,0,0,0,0,0,0,41
cloth,53,84,1.5849056603773586,192,3.6226415094339623,2.2857142857142856,,74,45,8,14,8,135,18,16,16,13,2258
cloth dryer,1,2,2.0,2,2.0,1.0,,0,0,0,0,0,0,1,0,0,0,32
cloth hanger,5,6,1.2,9,1.8,1.5,,0,1,0,0,3,0,1,0,3,1,126
cloth hangers,1,1,1.0,1,1.0,1.0,,0,0,0,0,2,0,1,0,1,0,45
cloth holder,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,36
clothes,88,159,1.8068181818181819,748,8.5,4.70440251572327,,44,86,2,2,21,23,11,14,39,14,3468
clothes bag,4,5,1.25,13,3.25,2.6,,0,4,0,0,3,1,2,0,1,0,152
clothes container,4,4,1.0,11,2.75,2.75,,0,2,0,1,0,0,3,0,0,0,74
clothes dryer,29,29,1.0,31,1.0689655172413792,1.0689655172413792,,42,2,0,5,6,2,24,0,1,1,713
clothes hamper,5,5,1.0,14,2.8,2.8,,7,1,0,4,0,0,1,0,0,0,93
clothes hanger,44,54,1.2272727272727273,83,1.8863636363636365,1.537037037037037,,37,25,0,4,16,8,5,3,2,1,1089
clothes hanger rod,13,14,1.0769230769230769,21,1.6153846153846154,1.5,,4,5,2,0,0,10,1,2,1,1,285
clothes on shelf,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,19
clothes rack,12,13,1.0833333333333333,27,2.25,2.076923076923077,,1,5,0,0,1,0,0,1,1,0,237
clothing stand,2,2,1.0,2,1.0,1.0,,0,0,0,0,0,1,3,1,0,0,37
clutter,42,113,2.6904761904761907,328,7.809523809523809,2.9026548672566372,,23,71,0,10,11,84,19,18,86,9,2850
coach,2,2,1.0,4,2.0,2.0,,0,0,1,0,0,4,1,0,0,0,49
coaster,2,2,1.0,2,1.0,1.0,,0,0,2,0,0,0,0,2,2,0,36
coat,5,6,1.2,12,2.4,2.0,,1,1,0,0,3,0,0,1,0,0,136
coat hanger,9,13,1.4444444444444444,13,1.4444444444444444,1.0,,5,19,2,2,5,8,2,2,2,0,280
coat rack,10,10,1.0,11,1.1,1.1,,1,1,0,2,1,0,2,3,0,0,258
coffee machine,100,109,1.09,120,1.2,1.1009174311926606,,0,13,28,0,13,527,11,50,20,1,3011
coffee maker,21,23,1.0952380952380953,24,1.1428571428571428,1.0434782608695652,,0,0,2,0,0,111,1,10,1,0,686
coffee mug,12,13,1.0833333333333333,24,2.0,1.8461538461538463,,0,4,2,0,0,33,1,8,6,0,331
coffee table,81,128,1.5802469135802468,162,2.0,1.265625,living room,0,36,24,0,16,109,1,255,36,6,3574
column,14,23,1.6428571428571428,45,3.2142857142857144,1.9565217391304348,,4,5,0,0,3,4,1,11,8,7,525
compound wall,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,4,0,0,0,0,26
compressor,2,2,1.0,2,1.0,1.0,,0,0,0,0,1,0,2,0,0,0,84
computer,24,30,1.25,37,1.5416666666666667,1.2333333333333334,office,14,14,0,0,6,9,0,20,79,8,866
computer chair,7,8,1.1428571428571428,8,1.1428571428571428,1.0,office,0,4,0,0,1,0,0,1,30,3,211
computer desk,19,21,1.105263157894737,24,1.263157894736842,1.1428571428571428,office,2,14,0,0,2,3,0,10,62,2,577
computer equipment,9,12,1.3333333333333333,18,2.0,1.5,office,2,12,0,0,2,0,1,4,43,1,300
computer mouse,29,38,1.3103448275862069,42,1.4482758620689655,1.105263157894737,office,0,23,0,0,4,13,1,12,133,4,1003
computer tower,2,2,1.0,2,1.0,1.0,office,0,2,0,0,1,0,0,1,3,0,45
condensation furnace,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,1,0,0,0,17
condiment,2,2,1.0,4,2.0,2.0,,0,0,0,0,0,21,0,1,0,0,71
cone,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,0,0,0,29
conference phone,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,1,0,0,22
console,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,2,1,0,26
console pad,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,0,0,2,1,0,26
console pad charger,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,2,1,0,26
construction stuff,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,20
container,43,83,1.930232558139535,313,7.27906976744186,3.7710843373493974,,52,36,0,19,10,74,15,5,24,2,2151
containers,3,3,1.0,18,6.0,6.0,,0,0,0,0,0,1,0,0,0,0,120
control,5,6,1.2,7,1.4,1.1666666666666667,,0,4,3,0,0,14,0,3,0,0,141
control panel,7,11,1.5714285714285714,12,1.7142857142857142,1.0909090909090908,,0,8,0,0,2,1,1,2,3,1,243
controller,2,2,1.0,3,1.5,1.5,,0,0,2,0,0,4,0,1,0,0,86
cook book,1,1,1.0,2,2.0,2.0,,0,0,0,0,0,3,0,0,0,0,29
cooker,23,24,1.0434782608695652,28,1.2173913043478262,1.1666666666666667,,0,1,2,0,0,140,2,12,2,0,648
cooker hood,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,4,0,0,1,0,54
cookies,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,3,0,0,0,0,28
copier,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,13
copier machine,3,3,1.0,3,1.0,1.0,,0,1,0,0,0,0,0,0,12,0,80
cork board,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,10,1,0,2,0,40
cornice,1,3,3.0,3,3.0,1.0,,0,6,0,0,0,0,0,2,1,0,72
cosmetic,31,46,1.4838709677419355,129,4.161290322580645,2.8043478260869565,,263,9,0,0,0,2,1,1,6,0,962
cosmetics,50,76,1.52,180,3.6,2.3684210526315788,,389,25,0,0,0,0,5,2,13,0,1603
couch,137,253,1.8467153284671534,331,2.4160583941605838,1.308300395256917,living room,7,59,33,2,48,219,2,340,58,16,6357
counter,8,10,1.25,10,1.25,1.0,,3,0,2,3,0,4,2,4,1,0,209
counter desk,1,1,1.0,1,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,87
counter door,3,3,1.0,6,2.0,2.0,,0,0,0,0,0,0,0,0,0,0,33
countertop,39,82,2.1025641025641026,118,3.0256410256410255,1.4390243902439024,,201,8,9,2,1,143,12,19,4,0,1972
countertop /otherroom,1,3,3.0,8,8.0,2.6666666666666665,,1,0,0,0,0,1,0,0,1,0,105
countertop item,2,3,1.5,14,7.0,4.666666666666667,,0,0,0,0,0,11,0,0,1,0,51
cover,9,11,1.2222222222222223,23,2.5555555555555554,2.090909090909091,,0,0,2,7,5,12,1,7,6,1,493
cradle,1,2,2.0,3,3.0,1.5,,0,0,0,0,0,3,0,1,1,0,69
crate,10,20,2.0,33,3.3,1.65,,15,2,0,1,2,15,3,7,4,0,621
crayon,1,1,1.0,1,1.0,1.0,,0,2,0,0,0,0,0,0,0,0,25
crib,9,14,1.5555555555555556,15,1.6666666666666667,1.0714285714285714,,0,12,0,0,0,3,0,4,2,0,331
cross,5,6,1.2,6,1.2,1.0,,0,6,0,0,0,0,0,3,2,0,145
cross-trainer,1,1,1.0,1,1.0,1.0,,0,1,0,0,0,0,0,0,2,1,29
crutches,1,1,1.0,1,1.0,1.0,,1,0,0,0,0,0,0,0,0,0,47
cuddly toy,11,17,1.5454545454545454,47,4.2727272727272725,2.764705882352941,,0,40,0,0,4,0,0,2,2,0,360
cup,62,95,1.532258064516129,199,3.2096774193548385,2.094736842105263,,165,33,11,0,6,205,6,43,36,0,2707
cups,4,4,1.0,6,1.5,1.5,,0,3,0,0,1,6,1,1,1,0,120
curb,1,1,1.0,3,3.0,3.0,,0,0,0,0,2,0,0,0,0,0,20
curtain,153,569,3.718954248366013,1206,7.882352941176471,2.1195079086115993,,374,602,39,3,49,242,19,224,205,12,12657
curtain bar,11,25,2.272727272727273,30,2.727272727272727,1.2,,18,27,2,0,4,14,0,10,27,0,667
curtain box,1,1,1.0,1,1.0,1.0,,0,3,0,0,0,0,0,1,0,0,26
curtain hanger,2,2,1.0,2,1.0,1.0,,11,2,0,0,0,0,0,0,2,0,55
curtain rail,39,71,1.8205128205128205,96,2.4615384615384617,1.352112676056338,,50,69,6,0,11,22,4,32,8,1,1512
curtain rod,77,180,2.3376623376623376,255,3.311688311688312,1.4166666666666667,,68,225,20,0,10,104,6,85,79,6,4272
curtain rod cover,1,5,5.0,5,5.0,1.0,,0,7,1,0,0,0,0,2,2,0,119
curtain valence,2,2,1.0,3,1.5,1.5,,0,4,2,0,0,0,0,1,0,0,41
cushion,29,90,3.103448275862069,420,14.482758620689655,4.666666666666667,,1,116,2,0,3,48,0,91,27,0,2123
cutlery,3,3,1.0,7,2.3333333333333335,2.3333333333333335,,0,0,0,0,0,8,0,3,0,0,107
cutting board,40,42,1.05,51,1.275,1.2142857142857142,,0,2,6,0,1,224,8,8,2,0,1202
cyp,1,1,1.0,1,1.0,1.0,,2,0,0,0,0,0,0,0,0,0,21
dartboard,6,6,1.0,7,1.1666666666666667,1.1666666666666667,,0,4,0,0,1,1,1,1,2,6,135
deck chair,2,2,1.0,2,1.0,1.0,,0,0,0,0,2,0,0,2,1,2,73
decoder,5,8,1.6,9,1.8,1.125,,0,7,0,0,0,5,0,10,1,0,206
decor,9,32,3.5555555555555554,90,10.0,2.8125,,18,17,0,0,4,7,2,13,6,1,905
decoration,137,638,4.656934306569343,2047,14.941605839416058,3.20846394984326,,434,404,58,2,90,463,15,297,222,21,14416
