Scene,Region,# of Tags,Relevant Tags in Region (Excluding : window;ceiling;floor;door;unknown;wall;window frame)
00096-6HRFAUDqpTb,6,11,door frame;ceiling lamp;bathroom cabinet;faucet;toilet;wall toilet paper;rug
00096-6HRFAUDqpTb,7,55,handrail;stairs railing;stairs;painting;shelf with art;dining chair;door frame;basket of something;kitchen cabinet;refrigerator;kitchen island;tissue box;bowl;bar chair;wall clock;coat hanger;mirror frame;decorative plant;kitchen counter;dishwasher;dishrag;coffee machine;paper towel;microwave;sink;soap dispenser;faucet;toaster;oven and stove;box;kitchen appliance;cabinet;picture;tv;wall hanging decoration;shelf;hanging clothes;pillow;lamp;coffee table;lounge chair;blanket;ceiling fan;support beam;dining table;doormat;rug;carpet;staircase trim
00096-6HRFAUDqpTb,8,27,painting;box;table;stool;door frame;bookshelf;exercise bike;shelf;picture;cabinet;tv;rocking chair;pillow;decoration;armchair;decorative quilt;end table;couch;ceiling lamp;carpet;doormat
00096-6HRFAUDqpTb,9,14,broom;ceiling fan;door frame;table;couch;pillow;armchair;carpet
00096-6HRFAUDqpTb,10,21,door frame;painting;picture;flag;ceiling lamp;closet door;shelf;cabinet;stool;table;couch;pillow;toy;trashcan;carpet
00096-6HRFAUDqpTb,11,27,door frame;curtain;shower cabin;shower tub;window curtain;wall hanging decoration;basket;clothes dryer;washing machine;toilet;hanging clothes;bathroom towel;toilet brush;cabinet;clothes hamper;bathroom cabinet;bathroom counter;sink;faucet;soap dispenser;tissue box
00096-6HRFAUDqpTb,12,8,door frame;doormat;stairs;handrail
00096-6HRFAUDqpTb,13,34,air conditioning;ventilation;pipe;bucket;wall electronics;ladder;boiler;air conditioner;vacuum cleaner;cabinet;box;cart;weight bench;rack of weights;exercise ball;stool;shelf;hanging clothes;ceiling under stairs;basket;chair;cloth;support beam;storage shelving;table;luggage;toy;door frame;ceiling lamp
00099-226REUyJh2K,0,18,curtain;armchair;pillar;bidet;toilet;bathtub;mirror;bin;sink;shower cabin;shelf;vase;door frame
00099-226REUyJh2K,1,16,curtain;picture;wardrobe;desk;chair;mirror;lamp;bed;pillow;nightstand;door frame
00099-226REUyJh2K,2,29,blinds;telescope;pillar;picture;chair;table;door frame;lamp;vent;record player;speaker;shelf;book;cabinet;box;tv;couch;pillow;rug;piano;armchair;mirror;sensor
00099-226REUyJh2K,3,20,blinds;tv;table;cabinet;chair;pillar;kitchen cabinet;oven;refrigerator;sink;kettle;coffee machine;paper towel;range hood;lamp
00099-226REUyJh2K,4,8,mirror;door frame;wardrobe;lamp
00099-226REUyJh2K,5,15,sculpture;mirror;lamp;toilet brush;toilet;toilet paper;washbasin;sensor;washing machine;towel;box
00099-226REUyJh2K,6,20,picture;curtain;lamp;vent;tv;pillar;radiator;armchair;rug;door frame;nightstand;bed;pillow;candle;sensor
00099-226REUyJh2K,7,17,wardrobe;curtain;radiator;armchair;pillow;plush toy;pillar;lamp;box;nightstand;bed;door frame;rug
00099-226REUyJh2K,8,20,curtain;door frame;radiator;pillar;mirror;basket;sink;armchair;bathtub;toilet paper;toilet;toilet brush;bidet;weight;lamp
00099-226REUyJh2K,9,17,shower wall;shower floor;lamp;radiator;shower rail;mirror;toilet;toilet paper;washbasin;sink;curtain;pillar
00105-xWvSkKiWQpC,0,50,picture;camera;monitor;statue;toy;cabinet;purse;cosmetics;box;papers;notes;board;coffee mug;desk;locker;luggage;bag;door frame;brochure;chair;ceiling vent;ceiling wall;ceiling lamp;printer;bottle;case;dustbin;table;cup;magazine;book;grass;mug;wall outside;office table;office wall;note;calculator;calendar;sign;keys;decoration;pavement;mat;canopy
00105-xWvSkKiWQpC,1,60,decoration;notes;picture;calendar;plant;fire alarm;basket;brochure;fridge;floor stand;door frame;cabinet;chair;pile of magazines;vase;decorative plant;box;ceiling wall;bag;cap;hanging clothes;sofa;coffee table;air vent;tv;table lamp;book;table;magazine;carpet;board;sign;seat;light;wall lamp;telephone;switch;door knob;blackboard;shelf;file cabinet;pillar;office chair;projector;ceiling lamp;desk;cover;banner;mat;brochures;exit sign;cup;napkins;bowl
00105-xWvSkKiWQpC,2,24,wall lamp;sign;board;picture frame;picture;bin;cabinet;ceiling lamp;handrail;toilet paper;air vent;cosmetics;toilet;washbasin;wash cabinet;mirror;notes;box;tap;liquid soap
00105-xWvSkKiWQpC,3,23,board;notes;bin;coffee machine;kitchen cabinet;wall lamp;cup;kitchen appliance;cups;fridge;ceiling lamp;bowl;sink;microwave;drawer sink table;tap;liquid cleaner;clutter
00105-xWvSkKiWQpC,4,25,air vent;board;picture;table lamp;table;ceiling lamp;projector;cabinet;decorative plant;pot;printer;box;clutter;canvas;decoration;banner;curtain;magazine;brochure;door frame
00105-xWvSkKiWQpC,5,17,picture;board;air vent;table lamp;brochure;table;chair;decoration;papers;ceiling lamp;fire sprinkler
00105-xWvSkKiWQpC,6,33,decorative plant;wall lamp;wall electronics;cabinet;stack of papers;keyboard;computer mouse;pile of magazines;box;book;floor lamp;wall panel;brochure;air vent;sign;door knob;desk;office chair;bin;picture;fire alarm;wall panel frame;exit sign;fire extinguisher;shelf;decoration;ceiling lamp
00105-xWvSkKiWQpC,7,16,kitchen wall;paper towel dispenser;kitchen cabinet;kitchen lower cabinet;kitchen appliance;liquid soap;tap;fridge;bin;table;microwave;decorative plant
00105-xWvSkKiWQpC,8,12,ceiling lamp;bin;shelf;floor lamp;air vent;office chair;desk;monitor;decoration
00105-xWvSkKiWQpC,9,2,mat
00105-xWvSkKiWQpC,10,13,cabinet;poster;desk;chair;board;notes;monitor;shelf;printer;telephone
00105-xWvSkKiWQpC,11,10,wall panel;desk;chair;bin;office chair;wall lamp;ceiling lamp
00108-oStKKWkQ1id,0,21,ceiling lamp;window glass;rug;control;tv stand;pillow;electrical controller;case;headphones;decoration;table;sofa seat;pouffe;air conditioning;glass;door frame
00108-oStKKWkQ1id,1,13,column;window glass;chest of drawers;blanket;desk chair;laptop;keyboard;chair;table;ceiling molding
00108-oStKKWkQ1id,2,29,ceiling lamp;ceiling molding;door frame;mirror;flower vase;bouquet;cosmetic;bathroom towel;sink cabinet;air conditioning;bidet;trash can;toilet;toilet paper;bathrobe;bath towel;shower rail;showerhead;shower curtain;shower wall;shower floor;arch;weight;rug
00108-oStKKWkQ1id,3,13,ceiling lamp;ceiling molding;curtain;curtain rod;clothes;hanging clothes;closet area for hanging clothes;boxes;closet shelving
00108-oStKKWkQ1id,4,23,ceiling lamp;tv;calendar;picture;chest of drawers;door frame;pillow;rug;bed;ceiling molding;window curtain;chair;clock;control;nightstand;book;flowerpot
00108-oStKKWkQ1id,5,21,frame;bathroom towel;sink cabinet;toilet paper;air conditioning;toilet brush holder;toilet;trash can;bathroom shelf;bathrobe;decorative plant;table;cosmetics;bathtub;ceiling molding
00108-oStKKWkQ1id,6,13,door frame;ceiling molding;telephone;picture;tray;book;cabinet;wall electronics
00108-oStKKWkQ1id,7,5,door frame;picture;mirror;ceiling molding
00108-oStKKWkQ1id,8,25,ceiling lamp;picture;wardrobe;bean bag chair;rug;bed table;pillow;ceiling molding;bed;window glass;blinds;board;scarf;tablet;desk chair;clutter;desk;shelf clutter;cup;shelf
00108-oStKKWkQ1id,9,24,ceiling lamp;decoration;paper;board;pillow;cuddly toy;bed sheet;bed;rug;wardrobe;desk chair;desk;window curtain;bin;door frame;stool;wall electronics;table;ceiling molding
00108-oStKKWkQ1id,10,24,ceiling lamp;air conditioning;tv;picture;wall electronics;couch;blanket;speaker;bowl of fruits;chair;table;box;casket;cabinet clutter;cabinet;window glass;blinds;rack;ceiling molding
00108-oStKKWkQ1id,11,9,bathrobe;bathroom shelf;ceiling lamp;air conditioning;door frame
00108-oStKKWkQ1id,12,17,decorative plant;ceiling lamp;kitchen appliance;sink;door frame;cooker;refrigerator;oven;microwave;kitchen extractor;kitchen cabinet;kitchen lower cabinet;kitchen top;window curtain
00108-oStKKWkQ1id,13,2,ceiling lamp;faucet
00109-GTV2Y73Sn5t,1,37,lamp;smoke detector;toy;box;wardrobe;door frame;decor;board;shelf;rug;electric cord;pillow;mascot;bed;clock;container;cabinet;radio;book;globe;bucket;chair;trashcan;desk;backpack;bricks;picture;light switch;electric outlet;light;ventilation
00109-GTV2Y73Sn5t,2,19,tv;radio;cabinet;chair;exercise bike;wardrobe;door frame;lamp;tv remote;bed;stuffed animal;plate;control panel;rug
00109-GTV2Y73Sn5t,3,19,backpack;cabinet;hanging clothes;case;book;bags;bag;clothes;binders;box;boxes;crate;rack;hanger;lamp
00109-GTV2Y73Sn5t,4,24,door frame;case;bag;wardrobe;box;closet;shoe case;rack;basket;lamp;electrical controller;light switch;electric outlet;screw box;blanket;shelf;bottle of detergent;vacuum cleaner;container;bags
00109-GTV2Y73Sn5t,5,14,attic hatch;light;flowerpot;picture;book;lamp;cabinet;box;handrail
00109-GTV2Y73Sn5t,6,33,ventilation;door frame;bottle;decor;shelf;mirror;washing machine;toilet;flush;toilet paper;towel;sink;cabinet;bottle of detergent;showerhead;cosmetics;bathrobe;trashcan;flowerpot;candle holder;picture;bathtub;bathroom rug;towel bar;tap;soap dispenser;basket;toilet brush
00109-GTV2Y73Sn5t,7,40,lamp;backpack;painting;picture;flowerpot;sofa;laptop;cabinet;door frame;control panel;light switch;electric outlet;calendar;book;shelf;can;hole puncher;pc tower;printer;keyboard;mouse;monitor;case;chair;trashcan;stools;binders;headphones;desk;box;mousepad;pad;light;smoke detector
00109-GTV2Y73Sn5t,8,24,stairs;lamp;decor;doormat;picture;shoe;bench;bag;motion detector;alarm control;hanger;wall electronics;door frame;cabinet;wardrobe;keys;bicycle helmet;umbrella
00109-GTV2Y73Sn5t,9,48,smoke detector;ventilation;lamp;pipe;router;recuperator;plenum box;water meter;water tank;furnace;gauge;gas meter;water pump;water outlet;electrical box;box;cables;switch;niche;ladder;shoe;vacuum cleaner;shoe rack;mop;brush;crutches;toilet paper;ironing board;boxes;iron;cabinet;bag;shelf;bags;beer crate;bottle;detergent;container;crate;wall control;clothes dryer;doormat
00109-GTV2Y73Sn5t,10,32,lamp;ventilation;toilet paper;handrail;toilet brush;trashcan;clock;flush;toilet;towel;basket;rug;towel bar;soap bottle;thermostat;tap;cabinet;sink;mirror;shower cabin;cosmetics;shelf;shower dial;showerhead;shower hose;shower valve;air purifier
00109-GTV2Y73Sn5t,11,29,ventilation;lamp;smoke detector;flower stand;flowerpot;cabinet;table;pillow;sofa;remote control;picture;curtain;mug;flower vase;wardrobe;radio;shelf;clock;electric cord;thermostat;electric plug;tv;curtain rail
00109-GTV2Y73Sn5t,12,43,lamp;ventilation;smoke detector;flower stand;table;photo;shelf;vase;flower vase;flowerpot;cabinet;pillow;blanket;sofa;oven;glasses;decor;tv;tv stand;bread box;spice rack;coffee machine;tap;sink;fruit bowl;bowl;kettle;basket;clock;poster;beanbag chair;chair;stovetop;mat;thermostat;medal;picture;table cloth
00135-HeSYRw7eMtG,0,36,curtain;parapet;towel;mirror;lamp;cabinet;sink;tap;liquid soap;cup;box;cosmetics;shelf;brush;picture;shower cabin;bath;flower;laundry basket;door frame;trash can;toilet brush;plunger;toilet;tissue box;toilet paper;scale;rug;fan
00135-HeSYRw7eMtG,1,25,bag;box;cardboard box;picture;monitor;table;keyboard;office chair;trashcan;basket;desk;painting;art frame;case;lamp;book;bottle;rack;door frame;fire alarm
00135-HeSYRw7eMtG,2,13,picture;doll;box;bed;pillow;fan;fire alarm;door frame
00135-HeSYRw7eMtG,3,21,shower cabin;picture;mirror;lamp;towel bar;towel;toilet;cabinet;sink;cup;tap;soap dispenser;cosmetic;flower;basket;rug;door frame
00135-HeSYRw7eMtG,4,19,basket;cabinet;bottle of detergent;clothes hanger;shelf;washer-dryer;washing machine;laundry basket;brush;rug;step stool;lamp;door frame
00135-HeSYRw7eMtG,5,15,door frame;fire alarm;fan;box;bag;rack;pc tower;picture;blanket
00135-HeSYRw7eMtG,6,15,cabinet;mirror;toilet;towel bar;curtain;bath;bottle of detergent;tap;sink;rug;lamp
00135-HeSYRw7eMtG,7,16,cabinet;bouquet;picture;lamp;fire alarm;parapet;vase;balustrade;railing;alarm;ornament;control panel
00135-HeSYRw7eMtG,8,22,basket;umbrella;stairs;balustrade;rug;picture;ornament;shoe;shelf;storage shelving;box;cabinet;door frame;clothes rack;alarm;control panel;food
00135-HeSYRw7eMtG,9,22,box;bag;book rack;rack;office chair;picture;desk;basket;stack of papers;trashcan;tissue box;cabinet;ornament;door frame;closet;rug;lamp
00135-HeSYRw7eMtG,10,39,armchair;pouffe;air conditioner;tv;cabinet;speaker;basket;fireplace wall;fireplace;candle;fireplace utensil;picture;flower;figure;ornament;closet;shelf;pillow;wall clock;toy;lamp;couch;blanket;curtain;table;tissue box;chair;rug;fan;holy cross;radio;kitchen island;bag
00135-HeSYRw7eMtG,11,33,pot;hanger;table;sink;tap;flower;brush;liquid soap;tablet;knife holder;paper towel;coffee machine;mug;cabinet;dishwasher;stove;kettle;kitchen utensil;bag;toaster;closet;microwave;towel;refrigerator;trashcan;bin;rug;ornament
00135-HeSYRw7eMtG,12,22,door frame;picture;toilet paper;towel;towel bar;hanger;lamp;mirror;ornament;cabinet;sink;tap;cup;box of tissue;toilet;rug;trashcan
00135-HeSYRw7eMtG,13,11,lamp;rail;fire alarm;cabinet;sink;stairs
00135-HeSYRw7eMtG,14,12,door frame;towel bar;lamp;toilet paper;toilet;cabinet;sink;cosmetic
00135-HeSYRw7eMtG,15,20,rack;box;sled;case;towel;picture;brush;basket;book;bag;cabinet;pitcher;paper;lamp;bar
00135-HeSYRw7eMtG,16,34,bed;pillow;radio;electrical controller;telephone;lamp;picture;cabinet;clock;figure;closet;basket;book;ornament;dressing table;casket;dresser;tv;bouquet;air conditioner;shelf;box;curtain;control panel;door frame;wall clock;fire alarm;fan
00141-iigzG1rtanx,1,18,support beam;support;pipe;machine;box;clutter;shelf;luggage;pillow;floor mat;lid;handrail;stairs
00141-iigzG1rtanx,2,19,door frame;toy;plush toy;basket of something;cart;box;bag;dresser;led tv;picture;l-shaped sofa;mat;pillow
00141-iigzG1rtanx,3,8,door frame;handrail;stairs railing;wall electronics
00141-iigzG1rtanx,4,16,door frame;cabinet door;dresser;tv;painting;drawer;bed;ceiling lamp;smoke detector;pillow
00141-iigzG1rtanx,5,23,door frame;shower wall;shower curtain rod;shower curtain;wall lamp;mirror;bath faucet;hot water/cold water knob;toilet;bathtub;wall toilet paper;bath towel;bathroom towel;bathroom counter;faucet;sink;bathroom cabinet
00141-iigzG1rtanx,6,15,door frame;picture;ceiling lamp;smoke detector;drawer;bed;clothes;desk lamp;tv;pillow
00141-iigzG1rtanx,7,17,door frame;closet door;painting;dresser;lamp;picture;blinds;statue;bed;bench;plush toy;pillow
00141-iigzG1rtanx,8,15,door frame;painting;tv;picture;bed;cabinet;sofa;pillow;smoke detector
00141-iigzG1rtanx,9,24,door frame;mirror;toilet;bathroom towel;bathroom counter;sink;bathroom cabinet;wall toilet paper;bath towel;bathtub;bath faucet;showerhead;shower curtain rod;hot water/cold water knob;shower caddy;shower curtain;step;shower floor
00141-iigzG1rtanx,10,11,wall hanging decoration;door frame;picture;stairs railing;stairs
00141-iigzG1rtanx,11,24,door frame;motion detector;wall tv;painting;floor lamp;wall hanging decoration;cabinet;calendar;coffee table;plant;desk;printer;paper storage;keyboard;computer mouse;monitor;office chair;carpet
00141-iigzG1rtanx,12,36,ceiling lamp;lounge chair;coffee table;table lamp;box;wall tv;fireplace;pillow;blanket;painting;door frame;sliding glass door;flower vase;l-shaped sofa;bar chair;kitchen island;wall hanging decoration;kitchen cabinet;kitchen counter;microwave;dishwasher;oven and stove;faucet;sink;knife holder;coffee maker;refrigerator;tissue box;rug;carpet
00141-iigzG1rtanx,13,14,door frame;wall toilet paper;mirror;bathroom towel;toilet;candle;flower vase;bathroom counter;sink;bathroom cabinet
00141-iigzG1rtanx,14,16,door frame;mirror frame;mirror;wall hanging decoration;candle;flower vase;chest of drawers;ceiling lamp;dining chair;dining table;carpet
00141-iigzG1rtanx,15,19,support beam;garage door;garage door railing;garage door opener motor;door frame;stairs;bottle;stool;cart;vacuum cleaner;bag;box;shelf with clutter;clutter
00141-iigzG1rtanx,16,25,handrail;stairs;flag;hanging clothes;door frame;sliding glass door;bag;box;briefcase;pipe;clothes;machine;air conditioning;boiler;electric box;support beam;pillow;shoe;ceiling under stairs
00143-5Kw4nGdqYtS,0,26,lamp;decoration;laundry basket;ironing board;hanging clothes;sofa chair;heater;picture;door frame;bed stand;pillow;couch;book;cabinet;rug;chair;radio;desk;wall hanging decoration;vase;bookshelf
00143-5Kw4nGdqYtS,1,22,lamp;wall clock;wall board;door frame;doormat;kitchen appliance;bowl;cloth;liquid soap;sink cabinet;washing machine;table;wall panel;kitchen cabinet;hanger
00143-5Kw4nGdqYtS,2,18,lamp;basket;vacuum cleaner;door stopper;door frame;handrail;shelf;bottom of stairs;stairs railing;stairs;shoe;rack;rug
00143-5Kw4nGdqYtS,3,5,door frame
00143-5Kw4nGdqYtS,4,24,toilet;ventilation;toilet paper dispenser;toilet paper;toilet brush;hanger;rug;bathroom towel;shower curtain bar;shower curtain;bathroom utensil;shower tub;shower hose;bathroom shelf;sink;heater;lamp;mirror;liquid soap;tap
00143-5Kw4nGdqYtS,5,18,lamp;armchair;picture;door frame;wall hanging decoration;book;table;pillow;couch;heater;cabinet;decoration;wardrobe
00143-5Kw4nGdqYtS,6,8,lamp;picture;bar;bottom of stairs;stairs railing;stairs;rug
00143-5Kw4nGdqYtS,7,26,bar;picture;lamp;basket of something;bag;cloth;cutting board;coffee machine;wall board;kitchen cabinet;pitcher;oven and stove;oven vent;kitchen appliance;sink;tap;kitchen utensil;kitchen wall;kitchen top;hanger
00143-5Kw4nGdqYtS,8,11,lamp;picture;doormat;rug;wardrobe;door frame;bar
00143-5Kw4nGdqYtS,9,40,bar;pillar;tv;device;chest;picture;table;pillow;l-shaped sofa;book;bookshelf;lamp;coffee table;armchair;blanket;rug;heater;small table/stand;chair;display cabinet;door frame;container;candle holder;decoration;teapot;firewood holder;firewood;fire pit;fire screen;fireplace;decorative bowl;decorative plate;cup
00143-5Kw4nGdqYtS,10,11,lamp;picture;bar;stand;door frame
00143-5Kw4nGdqYtS,11,17,lamp;picture;wardrobe;heater;rug;pillow;blanket;bed;small table/stand;toy
00143-5Kw4nGdqYtS,12,20,picture;heater;bath towel;hanger;sink;toilet;bathroom art;toilet brush;bathroom utensil;tray;bathroom cabinet;bathtub;shower hose/head;shower tap
00143-5Kw4nGdqYtS,13,12,lamp;case;clothes;hanger;bag;shoe;shelf;clutter
00143-5Kw4nGdqYtS,14,17,lamp;picture;heater;mirror;dresser;bed;bed stand;armchair;wardrobe;curtain rail;curtain;door frame
00143-5Kw4nGdqYtS,15,19,wardrobe;wall hanging decoration;picture;dresser;lamp;bed stand;armchair;heater;pillow;blanket;bed;door frame;curtain;curtain rail
00143-5Kw4nGdqYtS,16,5,balcony railing;balcony;roof
00143-5Kw4nGdqYtS,17,19,bar;door frame;hanger;sink;wall soap shelf;picture;heater;mirror;shelf;toilet;liquid soap;lamp
00149-UuwwmrTsfBN,0,23,door frame;door knob;cabinet;tv;picture;bed cabinet;table lamp;book;bed;ottoman;pillow;decoration;ceiling fan;ceiling lamp;ceiling vent;smoke detector;painting
00149-UuwwmrTsfBN,1,27,wash cabinet;towel;towel bar;washbasin;tap;mirror;wall lamp;toilet paper;toilet;toilet brush;air refresher;cleaner;hanger;bin;shower wall;shower shelf;shampoo;shower bar;shower dial;shower rail;shower floor;shower cabin;ceiling lamp;cosmetics
00149-UuwwmrTsfBN,2,16,picture;wall lamp;air vent;door frame;ceiling lower;ceiling lamp;smoke detector;door knob;table;decorative plant;table lamp;cases
00149-UuwwmrTsfBN,3,23,door frame;door knob;cabinet;tv;picture;bed;pillow;bed table;table lamp;book;chair;table;magazines;ceiling fan;ceiling lamp;air vent
00149-UuwwmrTsfBN,4,32,ceiling lamp;wash cabinet;towel;towel bar;mirror;wall lamp;washbasin;tap;napkins;door knob;door frame;toilet;toilet paper;toilet brush;bin;hanger;bath wall;bath;shampoo;soap;grab bar;bath door frame;bath shelf;shower;shower door knob;ceiling vent
00149-UuwwmrTsfBN,5,39,ceiling fan;picture;cabinet;door frame;door knob;bed;pillow;bed table;wall lamp;clock;decoration;document;book;toy;smoke detector;ceiling lamp;air vent;cleaning paper;wash cabinet;washbasin;tap;washing machine;vacuum cleaner;mop;tray;ironing board;mirror;candle;table lamp;armchair;ceiling lower;fire detector;tv
00149-UuwwmrTsfBN,8,38,door frame;door knob;picture;ceiling lamp;mirror;wall lamp;tissue;wash cabinet;washbasin;tap;towel;towel bar;decoration;bath floor;bath;decorative plant;hanger;bath dial;smoke detector;air vent;bin;toilet;toilet brush;toilet paper;scale;shower wall;shower bench;shower floor;shower bar;shower soap shelf;shower step;shower door frame
00149-UuwwmrTsfBN,9,30,ceiling lamp;air vent;window curtain;chair;desk;tissue;decoration;table lamp;bin;mirror;clock;wardrobe;slippers;clothes;boots;weights;bag;shoe;box;cap;basket;smoke detector;cabinet;chest;picture;banister
00149-UuwwmrTsfBN,10,23,stairs;frame;door frame;picture;mirror;cabinet;plate;decoration;door knob;ceiling lamp;smoke detector;lamp;banister;air vent;table;table lamp;sofa
00149-UuwwmrTsfBN,11,9,decoration;table;chair;pillow;carpet;ceiling lamp
00149-UuwwmrTsfBN,12,38,ceiling lower;ceiling lamp;door knob;picture;air vent;vase;table;case;table lamp;board;note;wall lamp;golf sticks;office chair;desk;box;decoration;shelf;book;bottle;clock;cabinet;statue;glasses;plate;painting;bag;printer;device;medal collection;curtain
00149-UuwwmrTsfBN,13,19,ceiling lower;clock;picture;cabinet;wall lamp;decorative dinnerware;door frame;mirror;air vent;chair;table;decoration;ceiling lamp;carpet
00149-UuwwmrTsfBN,14,26,ceiling lamp;shower wall;door knob;shower floor;shower bench;shower step;shower door frame;shower bar;shower tap;towel;towel bar;toilet paper;toilet;bin;air refresher;picture;mirror;wash cabinet;washbasin;tap;liquid soap;wall lamp
00149-UuwwmrTsfBN,15,13,kitchen cabinet;kitchen cabinet lower;sink;tap;cloth;ceiling lamp;door frame;door knob
00149-UuwwmrTsfBN,16,30,kitchen cabinet;kitchen cabinet lower;toaster;coffee machine;sink;tap;music player;microwave;jug;fridge;door frame;door knob;decoration;device;sliding door;kitchen table;chair;frame;clock;stove;range hood;kitchen knife set;kitchen island;ceiling lamp;table
00149-UuwwmrTsfBN,17,34,sitting bench;shelf;cap;shoe;slippers;door frame;device;door knob;carpet;ceiling lamp;air vent;picture;cabinet;tv;decoration;fireplace;candle;candle holder;picture frame;sofa;pillow;table;bowl with sweets;armchair;table lamp;ottoman;coffee table;ceiling fan
00149-UuwwmrTsfBN,19,10,handrail;stairs;banister;ceiling under stairs;ceiling lamp;door frame;door knob
00149-UuwwmrTsfBN,20,50,ceiling lower;air vent;door frame;boxes;decorative plant;sitting bench;sofa;decorative vase;box;rolled carpet;basket;vase;table;cabinet;mirror;candle holder;candle;pot;ball;dumbbell;floor lamp;door knob;chair;folded chair;fan;coffee table;shelf;shoe;printer;panel;decoration;book;casket;picture;carpet;fireplace;pillow;armchair;side table;table lamp;plate;vessel;ceiling lamp;smoke detector
00149-UuwwmrTsfBN,21,27,ceiling lower;box;table;curtain;speaker;wall lamp;cabinet;decoration;air vent;music player;remote control;screen;screen frame;speaker stand;decorative plant;projector;ceiling lamp;fire detector;armchair;pillow;ottoman;shelf;blanket
00149-UuwwmrTsfBN,22,24,door knob;bin;wash cabinet;mirror;washbasin;tap;box of tissues;soap;wall lamp;toilet paper;toilet;towel;towel bar;bath wall;bath;bath door frame;bath tap;shower bar;ceiling lamp;ceiling vent
00150-LcAd9dhvVwh,1,7,support beam;floor mat;ceiling lamp
00150-LcAd9dhvVwh,2,20,painting;ceiling lamp;oven;table;flower;flower stand;kitchen island;stove;bar chair;refrigerator;kitchen cabinet;dishwasher;sink cabinet;tap
00150-LcAd9dhvVwh,3,14,ventilation hood;painting;ceiling lamp;fireplace;table;food tray;flower;chair
00150-LcAd9dhvVwh,4,13,wardrobe;washing machine;sink cabinet;tap;sink;basket of something;shelf;ventilation hood
00150-LcAd9dhvVwh,5,17,electric box;ventilation;ceiling lamp;alarm;ventilation hood;table;decoration;rug;flower;handrail;door frame
00150-LcAd9dhvVwh,6,20,ventilation hood;coffee table;couch;pillow;throw blanket;armchair;fireplace;decoration;flower;stack of papers;shelf;painting;cabinet;book
00150-LcAd9dhvVwh,7,22,wall hanging decoration;ventilation hood;bed;blanket;pillow;bed stand;stand;book;flower;armchair;bed table;clock;bedside lamp;door frame;ceiling lamp;alarm
00150-LcAd9dhvVwh,8,23,picture;closet door;armchair;pillow;side table;computer desk;desk lamp;flower;computer chair;ventilation hood;globe;decoration;storage box;storage shelving;stack of papers;alarm
00150-LcAd9dhvVwh,9,14,cabinet door;painting;ceiling lamp;alarm;bed;pillow;bed table;bedside lamp;armchair
00150-LcAd9dhvVwh,10,17,ceiling lamp;shower dial;shower tap;bathtub;ventilation hood;wall toilet paper;closet mirror wall;bathroom cabinet;sink;toilet;towel
00150-LcAd9dhvVwh,11,20,ventilation hood;ceiling lamp;bathtub;shower dial;bath cabinet;toilet;mirror;wall lamp;bathroom cabinet;bath sink;bath towel;decoration;tap;toilet paper dispenser
00150-LcAd9dhvVwh,12,10,electric box;ceiling vent;ceiling lamp;door frame;stone support structure;alarm
00150-LcAd9dhvVwh,13,10,electric box;folding chair;ventilation;boiler;electrical controller;ceiling pipe
00150-LcAd9dhvVwh,14,27,ceiling lamp;ventilation hood;fireplace;door frame;pouffe;couch;pillow;floor lamp;wall electronics;table;book;decorative bowl;flower;coffee mug;armchair;coffee table;cabinet;picture;stack of papers;storage box;blanket
00150-LcAd9dhvVwh,15,21,ceiling lamp;ceiling vent;painting;armchair;pillow;throw blanket;coffee table;stack of papers;flower;bed;bed table;bedside lamp;alarm;door frame
00150-LcAd9dhvVwh,16,5,door frame;high shelf
00150-LcAd9dhvVwh,17,18,ceiling vent;chandelier;alarm;door frame;painting;wall electronics;bed;pillow;nightstand;armchair;stand;flower
00150-LcAd9dhvVwh,18,20,chandelier;alarm;ceiling vent;wall electronics;bed;pillow;bed table;nightstand;book;painting;cabinet;bedside lamp;door frame
00150-LcAd9dhvVwh,19,22,ceiling vent;ceiling lamp;handle;towel;shower floor;shower door frame;door frame;toilet;bath cabinet;sink;tap;wall lamp;mirror;bathroom utensil;handrail;shower dial
00150-LcAd9dhvVwh,20,21,ceiling vent;ceiling lamp;wardrobe;floor mat;toilet paper;toilet;mirror;bathroom cabinet;sink;towel;wall lamp;door frame;shower door frame;shower wall;bathroom utensil;shower floor;shower dial
00150-LcAd9dhvVwh,21,7,door frame;ceiling lamp;alarm;stairs
00155-iLDo95ZbDJq,1,28,carpet;ceiling fan;lamp;vent;pillow;blanket;bed;cushion;picture;door frame;ottoman;armchair;nightstand;alarm clock;thermostat;flower;book;vase;dresser;coffee table;mirror
00155-iLDo95ZbDJq,2,23,bathroom cabinet;picture;towel;toilet;towel bar;basket;shower floor;sink;rug;chair;toilet paper;shower soap shelf;cosmetics;soap dispenser;tap;mirror;bathroom counter;lamp;shower;shower cabin
00155-iLDo95ZbDJq,3,4,door frame
00155-iLDo95ZbDJq,4,33,lamp;fridge;kitchen extractor;stove;cutting board;tray;oven;microwave;flower vase;container;dishes;bowl;coffee machine;mug;teapot;shelf;flower;table;sign;curtain;rug;sink;dishwasher;kitchen cabinet;stool;kitchen island;kitchen counter
00155-iLDo95ZbDJq,5,24,ceiling fan;tv;shelf;fireplace;coffee table;magazine;flower vase;carpet;cushion;couch;plant;blanket;basket;picture;box;decoration;lamp;cabinet
